Q,A,type
감 말랭이 먹고 싶다.,맛있게 드세요.,original
감 말랭이 먹고 싶은데 어때?,"맛있겠네요, 즐거운 식사되세요!",augmented
감 말랭 맛있어?,"네, 정말 맛있어요. 꼭 드셔보세요!",augmented
감 말랭으로 뭐 해먹을까?,"감 말랭은 다양한 요리에 사용할 수 있어요. 예를 들어, 샐러드나 디저트에 넣어보는 건 어때요?",augmented
감 말랭이 먹어야지,맛있게 드세요.,original
감 말랭이 먹는 게 좋을 것 같아?,"그러세요, 맛있어요.",augmented
감 말랭이 먹어봐야 할까?,"먹어보세요, 맛있을 거예요.",augmented
감 말랭이 먹는 게 어떤지 궁금해,"맛있게 드세요, 추천해요.",augmented
감기 같애,병원가세요.,original
감기 증상이 나타났어요. 어떻게 해야 하나요?,의사와 상담하여 필요한 치료를 받는 것이 좋습니다.,augmented
감기 같은 증상이 몇 일 지속되고 있어요. 대체 어떻게 해야 할까요?,지속되는 경우 병원을 방문하여 정확한 진단을 받는 것이 좋습니다.,augmented
감기랑 비슷한 기분이 들어요. 심각한 걸려?,"증상이 심각하지 않아도, 체력을 보존하고 충분한 휴식을 취하는 것이 중요합니다.",augmented
감기 걸린 것 같아,이럴 때 잘 쉬는 게 중요해요.,original
"감기 증상이 좀 있는데요, 어떻게 해야 하나요?","잘 쉬고, 충분한 수분을 섭취하는 게 좋아요.",augmented
"아침에 기침이 있는데, 심한 건가요?",가벼운 감기일 수도 있으니 집에서 관리해보세요.,augmented
"몸이 약간 아프고 발열이 있는데, 병원 가야 할까요?",39도 이상이거나 증상이 심하면 병원 진료를 받는 게 좋아요.,augmented
감기 기운이 있어,이럴 때 잘 쉬는 게 중요해요.,original
"감기 증상이 좀 있는 거 같은데, 어떻게 해야 할까요?",이럴 땐 충분한 휴식을 취하는 것이 가장 중요해요.,augmented
"감기가 오는 것 같아, 조치가 필요할까요?","네, 조기에 휴식을 취하는 것이 좋습니다.",augmented
"감기 기운을 느끼는데, 어떻게 대처해야 하나요?","무리하게 활동하지 말고, 충분히 쉬는 것이 가장 좋은 방법이에요.",augmented
감기 들 거 같애,이럴 때 잘 쉬는 게 중요해요.,original
감기 올 것 같은데 어떻게 해야 하나요?,이时候要确保充足的休息和补充水分哦。,augmented
감기 증상이 좀 있는데 조언 좀,"따뜻한 물을 마시고, 잘 휴식을 취하는 것이 가장 중요해요.",augmented
감기 예방이나 초기 대처법 알려줘,"일찍자기와서 충분히 자고, 기분이 안 좋으면 무리하지 않는 것이 좋아요.",augmented
감기가 오려나,따뜻하게 관리하세요.,original
감기症狀出現了該怎么辦？,應該好好保暖，注意保暖哦。,augmented
感冒的症状이 나타나고 있어요. 어떻게 해야 하나요?,"따뜻하게 관리하고, 건강에 유의하세요.",augmented
감기 증상이 시작된 것 같아요. 조언 부탁드려요.,"잘 따뜻하게 관리하시고, 조심하시길 바랍니다.",augmented
감기약이 없어,병원가세요.,original
감기약이 없어서 어쩔 거야?,병원에 가는 게 좋을 것 같아.,augmented
감기약이 없는데 어떻게 해야 할까?,의사 상담을 받는 게 가장 안전할 거야.,augmented
감기약이 없을 때 대체로 뭘 먹으면 좋을까?,"일반적으로는 병원을 방문하는 것이 가장 좋지만, 약국에서 비슷한 성분의 약을 추천받을 수 있지.",augmented
감기인거 같애,병원가세요.,original
감기 증상이 나와서 걱정이야. 어떻게 해야 하나요?,"의료진을 찾아 증상에 대해 확인하고, 필요 시 치료를 받는 것이 좋습니다.",augmented
감기가 심하니까 조심해야 할 점이 뭐야?,"충분한 휴식, 수분 섭취, 증상에 따라 약물 복용을 통해 증후기를 줄이는 것이 중요합니다.",augmented
감기인데 병원에 가야 할까?,증상이 심각하거나 지속된다면 병원을 방문하여 정확한 진단을 받는 것이 좋습니다.,augmented
감미로운 목소리 좋아,저도 듣고 싶네요.,original
감미로운 목소리가 정말 좋아요. 그런 목소리가 들려오면 어떻게 해야 하나요?,"그런 목소리를 들으면 자연스럽게 주의가 끌리기도 하고, 마음이 편해지기도 하죠. 그대로 즐기면 좋아요.",augmented
감미로운 목소리에 특히 취향이 있으신가요?,"네, 감미로운 목소리는 사람에게 편안함과 호기심을 유발하기 때문에 특별한 매력이 있죠.",augmented
감미로운 목소리를 듣는 건 어떤 느낌인가요?,"감미로운 목소리를 들면 마음이 진정되고, 즐거운 감정이 생기는 경우가 많아요. 매우 부드러운 경험입니다.",augmented
감정이 쓰레기통처럼 엉망진창이야,자신을 더 사랑해주세요.,original
이제 감정-wise 완전 쓰레기 상태야. 어떻게 해야 할까?,자기 자신을 더 사랑하고 소중히 여겨주세요.,augmented
감정이 너무 엉망이어서 도움 필요해,자기 자신을 사랑하는 마음을 키우는 것이 중요해요.,augmented
이럴 때는 어떻게 감정 조절해야 하나요? 쓰레기통처럼 개판이네요,자기 사랑을 실천해보세요. 작은 것부터 천천히 시작해보는 건 어때요?,augmented
감정컨트롤을 못하겠어,그건 습관이에요.,original
감정 조절이 너무 힘들어요. 어떻게 해야 할까요?,습관이 됩니다. 조금씩 시도해보는 게 좋아요.,augmented
분이 나서 통제를 못 하겠어요.,그건 습관이 된 거예요. 매일 조금씩 연습해보세요.,augmented
감정을 이겨내는 게 정말 어렵네요.,그렇게 느껴질 수 있어요. 하지만 습관이 되면 더 쉬워집니다.,augmented
감정컨트롤이 안돼,그건 습관이에요.,original
감정이 이리 터질 때 어떻게 해야 할까,습관적으로 관리해야 해요,augmented
이럴 때는 어떻게 컨트롤해야 하나요,꾸준한 훈련이 필요해요,augmented
감정이 억눌려서 이럴 때 어떻게 대처해야 할까,스스로를 인식하고 조절하는 연습을 해야해요,augmented
감히 나를 무시하는 애가 있어,콕 집어서 물어보세요.,original
누군가 나를 무시하고 있어요. 어떻게 해야 할까요?,그 사람에게 직접적으로 질문해 보세요.,augmented
어떤 애가 날 완전히 무시하는 것 같아. 해결책 알려줘,그 사람에게 명확하게 대화를 시도해 보는 게 좋아요.,augmented
"나를 무시하는 사람이 있는데, 어떻게 접근해야 하나요?",직접적으로 그 사람에게 물어보는 것이 가장 효과적입니다.,augmented
갑자기 나쁜 생각이 막 들더라,좋은 생각만 하세요.,original
"갑자기 나쁜 생각이 머릿속에 떠오르는 게 어쩔 수 없을 때, 어떻게 대처해야 하나요?",마음이 불안할 때는 깊게 숨을 들이마시고 내쉬며 순간을 받아들이는 것이 중요합니다.,augmented
왜 갑자기 나쁜 생각이 들게 되는 걸까요?,"스트레스나 피로, 또는 과거의 상처가 잠시 활성화된 것일 수 있습니다. 시간이 해결할 수 있는 일이에요.",augmented
나쁜 생각이 계속 떠오를 때는 어떻게 하면 좋을까요?,"그 생각을 억누르지 말고, 그것을 관찰하며 자연스럽게 흘러가게 두는 것이 좋아요. 시간이 지나면 줄어들겠죠.",augmented
갑자기 눈물 나,마음이 아픈가요.,original
왜 갑자기 눈물이 나죠?,마음이 아플 때가 있죠.,augmented
눈물이 나니까 속상한 거죠?,"네, 마음이 힘든 순간일 수 있어요.",augmented
이럴 때 어떻게 해야 할까요?,조금 시간을 들여 마음을 차분하게 가만히 있으면 도움이 될 수 있어요.,augmented
갑자기 물어봐서 당황했어,갑작스러웠나봐요.,original
왜 갑자기 그런 말을 했어?,그때 상황이 좀 급격했었거든요.,augmented
그때 내 반응이 어땠어?,조금 놀랐는 걸 알겠었어요.,augmented
다시 그렇게 해보면 어떻게 해?,다른 방식으로 접근해볼게요.,augmented
갑자기 불편한 사이가 된 거 같아,관계의 변화가 왔나봅니다.,original
이런 상황에 어떻게 대처해야 할까요?,"상황을 돌아보고, 상대방과의 소통을 시도해보는 것이 중요할 수 있습니다.",augmented
이렇게되면 관계가 더 악화될 수 있나요?,"상황에 따라 다르지만, 서로의 의견을 나누고 이해하려는 노력이 중요합니다.",augmented
왜 갑자기 이렇게 된 걸까요?,"다양한 요인이 있을 수 있으니, 함께 이야기해보는 것이 좋습니다.",augmented
강렬한 첫인상 남겨야 하는데,처음 3초가 중요해요. 당신의 매력을 어필해보세요.,original
강렬한 첫인상 남기고 싶어요. 어떻게 해야 할까요?,처음 3초를 주의 깊게 준비하세요. 당신의 매력 포인트를 전달할 수 있는 방식으로 접근해보세요.,augmented
"첫인상은 정말 중요한데, 그 순간 어떻게 매력적으로 보일 수 있나요?","첫인상은 인상에 큰 영향을 미치므로, 자신감 있는 태도와 자연스러운 표현으로 매력을 발산하세요. 첫 3초가 결정적 순간입니다.",augmented
첫인상에 강렬한印象을 남기려면 어떤 전략이 있을까요?,"첫인상은 짧은 순간이지만 인상에 깊은 영향을 미칩니다. 자신만의 매력적인 특징을 강조하며, 상대방에게 긍정적인 감정을 전달할 수 있는 행동을 해보세요.",augmented
강아지 키우고 싶어,책임질 수 있을 때 키워 보세요.,original
"강아지를 키우고 싶은데, 어떤 준비가 필요해?",강아지를 키우기 위해서는 물론 비용적인 준비뿐만 아니라 시간과 책임감도 중요해요. 반려동물로서의 삶을 책임질 수 있는 준비가 필요합니다.,augmented
"강아지를 키우고 싶은데, 왜 책임감이 중요한지 알려줘","강아지는 주인의 보호를 필요로 하는 존재이기 때문에, 그에 맞는 책임감이 없으면 동물에게 부당한 대우가 될 수 있습니다. 책임감이 있는 사람이 키우면 건강한 반려동물이 될 수 있어요.",augmented
강아지 키우기 좋은 시기 언제야?,"강아지를 키우기 좋은 시기는 자신의 삶에서 경제적, 시간적으로 여유가 있고, 장기적으로 책임을 다할 수 있는 시기입니다. 단순히 감이 지나친 것이 아니라, 실질적인 준비가 되었다면 언제든지 시작할 수 있어요.",augmented
강아지 키우고 싶은데 역시 안돼겠지,먼저 생활패턴을 살펴 보세요.,original
"강아지를 키우는 게 나에게 적합한지 모르겠어, 어떤 걸 먼저 고려해야 해?",일루미네트는 생활 패턴을 확인하는 것을 추천합니다.,augmented
"강아지를 키우고 싶은데, 혹시 방해되는 요인이 있을까?",생활 습관을 점검해 보는 것이 중요합니다.,augmented
강아지 키우기 전에 확인해야 할 게 있을까?,まずは自分の生活スタイルを分析하는 것이 좋습니다.,augmented
강아지 키울 수 있을까,먼저 생활패턴을 살펴 보세요.,original
강아지를 키우는 게 가능한지 궁금해,일단 자신의 일상이 강아지 양육에 맞는지 점검해 보세요.,augmented
강아지 키우는 데 문제 없을까,생활 방식이 강아지와 잘 어울리는지 확인해야 해요.,augmented
강아지랑 함께 살 수 있을까,자기 자신의 일과가 반려동물과 조화되도록 관리해야 합니다.,augmented
강아지 키울까,책임질 수 있을 때 키워 보세요.,original
강아지를 키우는 게 좋을까?,책임감을 가지고 책임질 수 있다고 느낄 때 키우는 것이 좋아요.,augmented
강아지 키우는 게 어때?,기능적인 측면에서나 감정적인 측면에서 모두 준비가 된다면 괜찮은 선택이죠.,augmented
강아지를 키우는 것이 나에게 맞는지 모르겠어.,"일정한 시간과 정서적 안정, 재정적 여유가 있다면 시도해 볼 만하답니다.",augmented
강원도 가서 살까?,아름다운 곳이죠.,original
강원도에 정착해보는 건 어때요?,자연경관이 정말 아름답습니다.,augmented
강원도 생활이 어떨까요?,산과 계곡이 어우러진 아름다움을 느낄 수 있습니다.,augmented
강원도로 이사 가는 것이 좋을까요?,평온한 분위기를 즐길 수 있는 곳이죠.,augmented
같이 게임하자고 해도 되나?,안 될 것도 없죠.,original
게임 같이 해도 될까?,안 될 것도 없어요.,augmented
함께 게임하는 게 가능할까?,괜찮을 거예요.,augmented
게임 초대해도 괜찮을까?,문제 없을 것 같아요.,augmented
같이 놀러갈 친구가 없어,혼자도 좋아요.,original
친구랑 놀아도 될까? 없는데.,혼자서 즐길 수 있는 것도 있어요. 독서나 게임도 좋아요.,augmented
혼자 놀기엔 너무 외로워.,그럴 때는 취미를 키우는 게 좋아요. 예를 들어 그림 그리기나 음악 듣기!,augmented
"아무도 안 오는데, 뭐 해야 할까?",혼자 시간 보내기엔 충분히 즐거운 방법들이 있어요. 영화 마라톤이나 책 읽기라도!,augmented
같이 먹었는데 나만 살찐 거 같아,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.,original
함께 식사했는데 왜 나만 체중이 늘었을까요?,"연인관계에서는 상대방의 체중 증가를 잘 인지하지 않거나, 인지해도 특별히 싫어하지 않는 경우가 많아요.",augmented
함께 먹고 놀았는데 나만 뱃살이 뻑뻑이는데 왜 그래?,"사랑하는 사람에게는 체중 변화가 눈에 띄지 않거나,就算 눈에 띄더라도 무관심하게 반응할 수 있어요.",augmented
함께 있는 시간이 많아져서 나만 살이 났는 걸까요?,"연인과의 관계에서는 상대방의 체중 증가를 민감하게 느끼지 않거나,就算 느끼더라도 특별히 부정적으로 생각하지 않을 가능성이 높아요.",augmented
같이 수영장 가기로 했어,즐거운 시간 보내고 오세요!,original
수영장 가기로 했는데 시간 어때?,"시간은 괜찮은데, 즐거운 시간 보내세요!",augmented
수영장 가는 거 취소된 거야?,"아니, 그대로 가기로 한 상태예요. 즐거운 마음으로 준비하세요!",augmented
수영장 가는 거에 대해 생각changed 마음 바꿨어?,"아니, 그대로 가기로 한 걸로 진행 중이에요. 즐거운 시간 되세요!",augmented
같이 있으면 힘든데 붙잡고 싶어,질질 끌지 마세요.,original
함께 있는 게 고민이지만 놓고 싶진 않아요. 어떻게 해야 할까요?,그냥 그 상태로 두지 마세요. 계속 미루면 더 힘들 거예요.,augmented
함께 있으면 힘들지만 놓을 용기가 안 납니다. 도움을 주세요.,강요하지 마세요. 서로를 이해하려는 자세가 중요해요.,augmented
함께 있으면 답답하지만 완전히 끊을 순 없는 상황입니다. 어떻게 해야 하나요?,조금씩 거리를 두고 관계를 재정립해보는 건 어때요?,augmented
같이 피씨방 가자고 해볼까?,말해보세요.,original
피씨방 같이 갈 수 있지?,말해보세요.,augmented
피씨방 가는 건 어때요?,말해보세요.,augmented
함께 피씨방 가는 거 어때?,말해보세요.,augmented
같이 할 수 있는 취미 생활 뭐 있을까,함께하면 서로를 더 많이 알게 될 거예요.,original
함께하는 취미 생활 추천해줄 수 있어요?,함께하는 취미는 서로의 성격과 취향을 더 깊이 이해할 수 있게 해요.,augmented
친구랑 같이 할 수 있는 활동 추천 좀 해줘,함께하는 활동은 서로의 관계를 더 가까워지게 도와줄 수 있어요.,augmented
커플이 함께할 수 있는 취미 생활이 뭐가 있을까?,서로 다른 취미를 함께 나누면 더 많은 대화를 나눌 수 있어요.,augmented
개강룩 입어볼까,개시해보세요.,original
이번 주 개강행사에 입을 옷 추천해줘,캐주얼한 스타일로 준비하는 게 좋아요,augmented
개강룩으로 어떤 스타일이 좋을까,自分의 스타일을 살려 자연스럽게 입는 것이 중요해요,augmented
개강에 입을 옷 추천해줄 수 있어,색상이나 패턴을 활용해 돋보이는 룩을 시도해보세요,augmented
개강옷 예쁘게 입어 볼까,개시해보세요.,original
"옷 입는 게 어렵지만, 개강 때 예쁘게 입고 싶어. 어떻게 해야 할까?","기본적인 스타일을 정하고, 자신에게 어울리는 색상이나 패턴을 선택해보세요. 간단한 액세서리로 포인트를 주면 더 예쁘게 입을 수 있어요.",augmented
"새 학기인데, 옷차림으로 좋은 인상을 줄 수 있을까?","네, 단정한 차림으로 자신의 개성을 살리면 좋은 인상을 줄 수 있습니다. 너무 과하지 않게 자신만의 스타일을 표현해보세요.",augmented
"입는 걸 잘 모르는데, 개강 때 뭐 입으면 좋을까?","기본적인 셔츠나 스웨터, 청바지 같은 간단한 조합부터 시작해보세요. 그리고 점차 자신에게 어울리는 옷을 찾아보는 것이 좋아요.",augmented
개강이다,곧 방학이예요.,original
개강이 되었습니다. 방학은 언제인가요?,곧 방학이 되겠습니다.,augmented
이번 주에 방학이 맞을까요?,"아니요, 이번 주는 개강입니다.",augmented
방학이 언제 시작되나요?,곧 시작됩니다.,augmented
개강이라니,방학이 참 짧죠.,original
"개강이 이렇게 빠르다니, 방학이 너무 짧게 느껴져.","네, 방학이 짧게 느껴질 수 있는데요. 하지만 계획적으로 휴식을 취하다 보면 적응이 빠를 수 있습니다.",augmented
방학이 이렇게 빨리 끝났나 봐요. 개강이라니 믿기 힘들어요.,"그렇죠, 시간이 정말 빠릅니다. 하지만 새로운 학기에는 기대되는 점도 많을 거예요!",augmented
이번 방학 진짜 짧았어요. 개강이라니 갑자기 당황했어요.,방학이 짧게 느껴질 때는 일정을 미리 정리해보는 게 좋아요. 새로운 학기도 즐겁게 보내세요!,augmented
개같은 상황,벗어나는 게 좋겠네요.,original
이런 상황에서 어떻게 해야 할까요?,빨리 벗어나야겠네요.,augmented
이게 도대체 뭐야?,정말 피가 부서질 것 같아요.,augmented
이런 게 정말 말도 안 되는 거예요.,"맞아요, 정말 처리하기가 힘들죠.",augmented
개같이 되버렸어.,벗어나는 게 좋겠네요.,original
개처럼 된 걸 후회하나요?,그래도 조심해야 할 것 같아요.,augmented
이런 상태에서 어떻게 벗어나죠?,조금씩 조절하는 게 나을 거예요.,augmented
이러면 어떻게 해야 하나요?,천천히 원래 모습으로 돌아가는 게 좋을 것 같아요.,augmented
개기름 꼈어,세수하고 오세요.,original
개기름 좀 꼬셨어요?,세수를 하세요.,augmented
기름이 꼬셨나요?,세수를 하세요.,augmented
기름이 꼬셨나요? 세수를 하세요.,기름이 꼬셨을 때는 세수를 하는 것이 좋아요.,augmented
개념도 놓고 옴,그게 제일 중요한 건데요.,original
개념부터 설명해줄 수 있어?,그게 가장 중요한 부분이니까요.,augmented
정말 기초적인 걸 물어도 될까요?,물론이죠. 기초가 안 되면 앞으로 배울 내용도 이해하기 힘들 거예요.,augmented
처음부터 다시 정리해 줄 수 있나요?,"네, 처음부터 천천히 설명해 드릴게요.",augmented
개념이 없어,그게 제일 중요한 건데요.,original
말이 완전 엉뚱하게 나오는데요.,그건 정말 문제가 되는 부분이죠. 중요한 개념이 없어서 그런 것 같아요.,augmented
어떻게 해야 개념이 생길까요?,그게 바로 제가 말하고자 하는 바입니다. 개념 없이 말하면 오해를 유발할 수 있어요.,augmented
이런 말투는 왜 그러는데요?,말이 제대로 정리되지 않았기 때문이죠. 중요한 개념이 없어서 그런 거예요.,augmented
개당황,다음부터는 더 많이 아세요.,original
개당황是什么意思？,指下次要更加小心或多留意，避免犯同样的错误。,augmented
개당황이라는 표현을 어떤 상황에서 사용할 수 있나요？,通常在犯错后，用来提醒自己或他人下次要更注意，避免重复错误时使用。,augmented
개당황을 다른 말로 어떻게 표현할 수 있나요？,可以说'下次多留意点'、'别再犯同样的错误'或者'多小心一点'等。,augmented
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.,original
왜 갑자기 그러는데?,갑작스러웠나봐요.,augmented
이게 갑자기 왜 그러지?,갑작스러웠나봐요.,augmented
왜 이렇게 갑자기 물어부르치는데?,갑작스러웠나봐요.,augmented
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,original
개인 업무까지 다 시키는 건 너무 하지 않나요?,공적인 일부터 처리하는 게 맞습니다.,augmented
왜 내 개인 일도 다 시키게 해요?,공적인 업무부터 완료하는 것이 우선입니다.,augmented
개인적인 업무까지 다 시켜야 하나요?,우선 공적인 일부터 처리하시길 권장합니다.,augmented
개인적인 일도 다 시켜,공적인 일부터 하세요.,original
개인적인 업무도 처리해줄 수 있나요?,공적인 업무부터 처리해 주세요.,augmented
개인적인 요청도 도와줄 수 있어요?,공적인 요청부터 처리해 주세요.,augmented
개인적인 일도 맡길 수 있는 건가요?,공적인 일부터 맡기세요.,augmented
개졸려,낮잠을 잠깐 자도 괜찮아요.,original
"진짜 피곤해, 어떻게 해야 할까?",살짝 낮잠을 자는 건 어때요?,augmented
눈이 이상하게 피곤한데요,조금만 낮잠을 자면 부상할 수 있어요.,augmented
졸릴 때는 어떻게 대처하는 게 좋을까?,짧게 낮잠을 자거나 환한 빛을 보는 게 도움이 될 수 있어요.,augmented
개좋아,저도 좋아해주세요.,original
개가 정말 좋아여?,"맞아, 저도 개 좋아해.",augmented
개 좋아하는 거 맞지?,"네, 정말 좋아합니다.",augmented
당신도 개 좋아하나요?,"네, 저도 개를 매우 좋아합니다.",augmented
개학하니까 좋다,친구들이 보고싶었나봐요.,original
학교가 다시 시작되었어. 그거 좋아요?,"네, 친구들이 많이 보고 싶었는지 선생님도 반갑고요.",augmented
개학했는데 기분이どう해?,기분이 좋아. 친구들과 다시 만나게 되어 기대되요.,augmented
학교 다시 가는 게 낫나요?,"네, 친구들과 함께 시간 보내기 좋아서 개학하는 게 더 좋아요.",augmented
걔 너무 싫다,되도록 만나지 마세요.,original
"그 사람하고는 정말 안 되겠네, 어쩌라고?",가능하면 피하는 게 좋아요.,augmented
왜 그런 사람하고 계속 만나야 하는 거예요?,않으면 더 나은 것 같아요.,augmented
그런 인간은 어떻게 해야 할까?,제일 가까이서 피하는 게 낫다고 생각해요.,augmented
걔는 누굴 닮아서 그런거니?,당신이요.,original
"그 애가 누군가를 닮았는데, 그 사람 말이지, 누굴 닮았어?",당신을 닮았어.,augmented
"그 사람의 외모가 누군가와 비슷한데, 누굴 닮았는지 궁금해해.",당신을 닮았습니다.,augmented
그 친구가 누군가를 닮아서 그런 건가요?,"네, 당신을 닮았어요.",augmented
걔랑 같은 반 됐으면 좋겠다,당신의 운을 믿어보세요.,original
그 사람하고 같은 반 되고 싶은데요. 운이 따라줄까요?,당신의 운에 대해 믿을 수 있어요.,augmented
"이번에 그 친구랑 같은 반이 되면 좋겠는데, 될까요?",그 상황에 대한 운을 믿는 것이 중요해요.,augmented
걔랑 반이 같아졌으면 해. 운이 따라줄 거예요?,운이 따라줄지 믿어보는 것이 좋아요.,augmented
거지 같이 일해 놓고 갔어,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.,original
이번에 작업을 하다가 동료가 너무 일도 못하고 떠났어. 어떻게 해야 할까?,"동료가 일을 맡고 떠났을 때는 주변 사람들과 협력하여 업무를 나누는 것이 중요합니다. 또한, 향후에는 업무 분배 시 신중하게 계획하는 것이 좋습니다.",augmented
"동료가 일도 안 해놓고 그냥 떠버리는데, 이거 어떻게 처리해야 하나요?","이런 경우에는 팀원들과 함께 업무를 재조정하거나, 상사와 협의하여 적절한 조치를 취하는 것이 좋습니다. 문제의 원인을 해결하기 위해 대화를 통해 서로의 입장을 이해하는 것도 중요합니다.",augmented
